threshold,rsi_low,stop_pct,trades,win_rate,profit_factor,max_dd,sharpe,net_return,go_live
60,35,0.02,92,0.457,0.661,0.151,-0.587,-0.124,False
60,35,0.025,92,0.457,0.661,0.151,-0.587,-0.124,False
60,35,0.03,92,0.457,0.661,0.151,-0.587,-0.124,False
60,35,0.035,92,0.457,0.661,0.151,-0.587,-0.124,False
60,40,0.02,100,0.41,0.59,0.188,-0.751,-0.162,False
60,40,0.025,100,0.41,0.59,0.188,-0.751,-0.162,False
60,40,0.03,100,0.41,0.59,0.188,-0.751,-0.162,False
60,40,0.035,100,0.41,0.591,0.188,-0.751,-0.162,False
60,45,0.02,112,0.402,0.575,0.215,-0.871,-0.191,False
60,45,0.025,112,0.402,0.575,0.215,-0.871,-0.191,False
60,45,0.03,112,0.402,0.575,0.215,-0.871,-0.191,False
60,45,0.035,112,0.402,0.576,0.215,-0.869,-0.191,False
65,35,0.02,74,0.459,0.616,0.117,-0.616,-0.111,False
65,35,0.025,74,0.459,0.616,0.117,-0.616,-0.111,False
65,35,0.03,74,0.459,0.616,0.117,-0.616,-0.111,False
65,35,0.035,74,0.459,0.616,0.117,-0.616,-0.111,False
65,40,0.02,75,0.4,0.537,0.148,-0.788,-0.141,False
65,40,0.025,75,0.4,0.537,0.148,-0.788,-0.141,False
65,40,0.03,75,0.4,0.537,0.148,-0.788,-0.141,False
65,40,0.035,75,0.4,0.537,0.148,-0.788,-0.141,False
65,45,0.02,83,0.361,0.457,0.185,-0.99,-0.183,False
65,45,0.025,83,0.361,0.457,0.185,-0.99,-0.183,False
65,45,0.03,83,0.361,0.457,0.185,-0.99,-0.183,False
65,45,0.035,83,0.361,0.457,0.185,-0.99,-0.183,False
70,35,0.02,26,0.462,0.332,0.074,-0.711,-0.07,False
70,35,0.025,26,0.462,0.332,0.074,-0.711,-0.07,False
70,35,0.03,26,0.462,0.332,0.074,-0.711,-0.07,False
70,35,0.035,26,0.462,0.332,0.074,-0.711,-0.07,False
70,40,0.02,29,0.414,0.453,0.068,-0.583,-0.061,False
70,40,0.025,29,0.414,0.453,0.068,-0.583,-0.061,False
70,40,0.03,29,0.414,0.453,0.068,-0.583,-0.061,False
70,40,0.035,29,0.414,0.453,0.068,-0.583,-0.061,False
70,45,0.02,31,0.355,0.392,0.081,-0.691,-0.077,False
70,45,0.025,31,0.355,0.392,0.081,-0.691,-0.077,False
70,45,0.03,31,0.355,0.392,0.081,-0.691,-0.077,False
70,45,0.035,31,0.355,0.392,0.081,-0.691,-0.077,False
75,35,0.02,20,0.3,0.246,0.082,-0.897,-0.081,False
75,35,0.025,20,0.3,0.246,0.082,-0.897,-0.081,False
75,35,0.03,20,0.3,0.246,0.082,-0.897,-0.081,False
75,35,0.035,20,0.3,0.246,0.082,-0.897,-0.081,False
75,40,0.02,24,0.417,0.464,0.053,-0.506,-0.049,False
75,40,0.025,24,0.417,0.464,0.053,-0.506,-0.049,False
75,40,0.03,24,0.417,0.464,0.053,-0.506,-0.049,False
75,40,0.035,24,0.417,0.464,0.053,-0.506,-0.049,False
75,45,0.02,22,0.409,0.493,0.049,-0.492,-0.049,False
75,45,0.025,22,0.409,0.493,0.049,-0.492,-0.049,False
75,45,0.03,22,0.409,0.493,0.049,-0.492,-0.049,False
75,45,0.035,22,0.409,0.493,0.049,-0.492,-0.049,False
80,35,0.02,9,0.333,0.309,0.035,-0.539,-0.034,False
80,35,0.025,9,0.333,0.309,0.035,-0.539,-0.034,False
80,35,0.03,9,0.333,0.309,0.035,-0.539,-0.034,False
80,35,0.035,9,0.333,0.309,0.035,-0.539,-0.034,False
80,40,0.02,13,0.385,0.371,0.041,-0.544,-0.037,False
80,40,0.025,13,0.385,0.371,0.041,-0.544,-0.037,False
80,40,0.03,13,0.385,0.371,0.041,-0.544,-0.037,False
80,40,0.035,13,0.385,0.371,0.041,-0.544,-0.037,False
80,45,0.02,13,0.231,0.203,0.075,-0.894,-0.071,False
80,45,0.025,13,0.231,0.203,0.075,-0.894,-0.071,False
80,45,0.03,13,0.231,0.203,0.075,-0.894,-0.071,False
80,45,0.035,13,0.231,0.203,0.075,-0.894,-0.071,False
